Hospital overall rating,Mortality national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Median Time Spent in Emergency Department Before Leaving,Median Time Spent in Emergency Department After Doctor Decides to Admit as Inpatient,Median Household Income,% of 25+ with High School Degree or Higher,% of 25+ with Bachelor Degree or Higher,Median Age,%65+,%White,%Black,%Hispanic/Latino
4.0,,1.0,0.0,-1.0,,,81.0,27115.0,77.8,11.7,27.9,10.3,3.1,0.4,0.5
,,,,,,111.0,80.0,48409.0,99.2,28.3,22.0,0.5,71.9,23.7,20.1
,,,,,,,,71673.0,96.0,38.9,37.2,14.1,94.8,2.9,5.7
,,,,,0.0,100.0,10.0,48846.0,75.4,16.0,31.6,10.7,90.3,5.5,38.7
,,,,,0.0,113.0,74.0,53047.0,87.0,16.0,45.7,22.0,91.8,8.2,2.2
2.0,1.0,-1.0,-1.0,0.0,0.0,138.0,168.0,50762.0,91.3,29.6,38.7,17.1,87.7,10.6,1.6
,,,,,,108.0,,40392.0,89.7,12.6,45.0,21.6,96.6,2.0,2.9
,,,,,,166.0,80.0,47662.0,99.9,25.4,21.2,0.3,83.0,15.8,18.0
,,,1.0,,,,,88254.0,97.5,57.2,34.9,14.1,82.3,9.0,5.1
2.0,0.0,-1.0,0.0,0.0,1.0,120.0,66.0,37804.0,92.6,35.9,31.2,14.8,94.1,4.2,2.3
,,,1.0,,,,,65184.0,90.4,29.5,41.2,19.9,84.8,11.6,7.8
4.0,0.0,-1.0,1.0,-1.0,1.0,82.0,67.0,50496.0,84.4,18.9,39.3,16.0,95.0,2.9,4.1
,,,,,,,,59083.0,87.0,24.0,39.1,15.7,91.2,4.8,62.2
4.0,,0.0,,0.0,0.0,108.0,60.0,55972.0,91.0,18.4,27.1,9.2,91.9,1.5,11.8
,,,1.0,0.0,1.0,81.0,50.0,91293.0,94.9,37.3,34.6,9.1,84.1,14.2,13.8
4.0,0.0,1.0,0.0,0.0,-1.0,210.0,270.0,126077.0,97.7,83.4,40.9,18.2,83.7,6.0,8.7
2.0,0.0,-1.0,,-1.0,-1.0,159.0,92.0,33145.0,73.3,6.8,39.4,15.0,66.4,31.9,6.1
,,,,,0.0,125.0,95.0,28583.0,79.5,16.4,42.1,14.1,12.3,86.5,0.0
3.0,0.0,-1.0,1.0,0.0,-1.0,193.0,123.0,105238.0,97.5,75.6,36.1,6.9,32.8,6.2,2.3
5.0,0.0,1.0,1.0,0.0,0.0,143.0,65.0,70536.0,94.7,27.1,39.6,15.4,99.0,0.1,1.4
,,,,,,,,64335.0,96.0,31.4,38.2,15.5,97.0,1.3,3.0
3.0,0.0,0.0,,,1.0,137.0,9.0,41495.0,89.2,19.4,57.6,35.4,96.4,0.2,3.1
,,,,,,,,35533.0,70.9,13.1,33.2,14.2,27.0,72.9,2.1
4.0,0.0,0.0,1.0,0.0,0.0,124.0,108.0,63838.0,81.0,33.6,39.0,14.7,89.8,1.1,32.0
4.0,0.0,1.0,1.0,0.0,0.0,150.0,156.0,58029.0,84.6,27.7,39.2,15.6,85.6,10.8,9.3
4.0,0.0,1.0,1.0,0.0,1.0,114.0,63.0,55641.0,85.8,18.6,40.0,16.5,93.7,2.2,6.2
